Teams,Borda Points
clemson-tigers,302
alabama-crimson-tide,254
ohio-state-buckeyes,143
notre-dame-fighting-irish,103
georgia-bulldogs,82
penn-state-nittany-lions,19
oklahoma-state-cowboys,13
byu-cougars,5
texas-am-aggies,4
oregon-ducks,2
miami-fl-hurricanes,2
cincinnati-bearcats,1
wisconsin-badgers,0
kansas-state-wildcats,0
florida-gators,0
southern-methodist-mustangs,0
minnesota-golden-gophers,0
michigan-wolverines,0
usc-trojans,0
iowa-state-cyclones,0
virginia-tech-hokies,0
north-carolina-tar-heels,0
uab-blazers,0
marshall-thundering-herd,0
tulsa-golden-hurricane,0
north-carolina-state-wolfpack,0
west-virginia-mountaineers,0
oklahoma-sooners,0
utah-utes,0
coastal-carolina-chanticleers,0
memphis-tigers,0
arizona-state-sun-devils,0
virginia-cavaliers,0
auburn-tigers,0
iowa-hawkeyes,0
liberty-flames,0
louisiana-lafayette-ragin-cajuns,0
south-carolina-gamecocks,0
army-west-point-black-knights,0
air-force-falcons,0
washington-huskies,0
tennessee-volunteers,0
arkansas-razorbacks,0
kentucky-wildcats,0
indiana-hoosiers,0
texas-longhorns,0
