Year,League,Name,Affiliation,Chapter,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
2012,AL,Paul White,USA Today,BAL,Cabrera,Trout,Cano,Verlander,Beltre,Fielder,Zobrist,Price,Hamilton,Cespedes
2012,AL,Tim Kurkjian,ESPN.com,BAL,Cabrera,Trout,Beltre,Jones,Jeter,Hamilton,Cano,Cespedes,Rodney,Verlander
2012,AL,Tim Britton,Providence Journal Bulletin,BOS,Trout,Cabrera,Cano,Verlander,Hamilton,Fielder,Beltre,Encarnacion,Zobrist,Mauer
2012,AL,Sean McAdam,CSNNE.com,BOS,Trout,Cabrera,Beltre,Cano,Jones,Verlander,Hamilton,Rodney,Fielder,Encarnacion
2012,AL,Daryl Van Schouwen,Chicago Sun Times,CHI,Cabrera,Trout,Beltre,Hamilton,Verlander,Jones,Jeter,Encarnacion,Rios,Cespedes
2012,AL,Mark Gonzales,Chicago Tribune,CHI,Cabrera,Trout,Jeter,Beltre,Rios,Fielder,Hamilton,Cano,Jones,Encarnacion
2012,AL,Sheldon Ocker,Akron Beacon Journal,CLE,Cabrera,Beltre,Trout,Cano,Hamilton,Pujols,Jones,Rodney,Rios,Fielder
2012,AL,Paul Hoynes,Cleveland Plain Dealer,CLE,Cabrera,Trout,Beltre,Cano,Jones,Reddick,Johnson,Hamilton,Jeter,Fielder
2012,AL,John Lowe,Detroit Free Press,DET,Cabrera,Trout,Johnson,Beltre,Jeter,Hamilton,Rodney,Cespedes,Fielder,Ibanez
2012,AL,Tom Gage,Detroit News,DET,Cabrera,Trout,Beltre,Cano,Hamilton,Fielder,Jeter,Jones,Rios,Pujols
2012,AL,Bob Dutton,Kansas City Star,KC,Cabrera,Trout,Cano,Beltre,Fielder,Price,Verlander,Jones,Hamilton,Encarnacion
2012,AL,Jeff Passan,Yahoo! Sports.com,KC,Trout,Cabrera,Beltre,Cano,Verlander,Jones,Hamilton,Mauer,Hernandez,Fielder
2012,AL,Mark Whicker,Orange County Register,LA,Cabrera,Trout,Beltre,Johnson,Cespedes,Hamilton,Wieters,Cano,Jones,Fielder
2012,AL,Joe Haakenson,At Large,LA,Trout,Cabrera,Beltre,Hamilton,Encarnacion,Cano,Jones,Fielder,Pujols,Rios
2012,AL,John Shipley,St. Paul Pioneer Press,MIN,Cabrera,Trout,Price,Beltre,Cano,Verlander,Hamilton,Encarnacion,Weaver,Jeter
2012,AL,La Velle Neal III,Minneapolis Star Tribune,MIN,Cabrera,Trout,Beltre,Cano,Encarnacion,Fielder,Jones,Cespedes,Hamilton,Mauer
2012,AL,George King,New York Post,NY,Cabrera,Trout,Beltre,Hamilton,Jeter,Jones,Cano,Fielder,Rios,Cespedes
2012,AL,Mark Feinsand,New York Daily News,NY,Cabrera,Trout,Jeter,Beltre,Jones,Hamilton,Cespedes,Soriano,Verlander,Rodney
2012,AL,Susan Slusser,San Francisco Chronicle,OAK,Cabrera,Trout,Cano,Beltre,Jones,Hamilton,Cespedes,Encarnacion,Fielder,Zobrist
2012,AL,Joe Stiglich,Bay Area News Group,OAK,Cabrera,Trout,Beltre,Cano,Hamilton,Jones,Verlander,Encarnacion,Fielder,Reddick
2012,AL,Jim Caple,ESPN.com,SEA,Trout,Cabrera,Beltre,Cano,Jones,Verlander,Hamilton,Jeter,Cespedes,Mauer
2012,AL,Larry LaRue,Tacoma News Tribune,SEA,Cabrera,Trout,Beltre,Jeter,Jones,Reddick,Hamilton,Johnson,Cano,Fielder
2012,AL,Roger Mooney,Tampa Tribune,TB,Trout,Cabrera,Beltre,Jones,Jeter,Cespedes,Cano,Hamilton,Rodney,Encarnacion
2012,AL,Marc Topkin,Tampa Bay Times,TB,Cabrera,Trout,Jones,Beltre,Jeter,Cespedes,Hamilton,Rodney,Soriano,Reddick
2012,AL,Jeff Wilson,Fort Worth Star Telegram,TEX,Cabrera,Trout,Beltre,Cano,Hamilton,Jones,Jeter,Rodney,Fielder,Encarnacion
2012,AL,Evan Grant,Dallas Morning News,TEX,Cabrera,Trout,Cano,Beltre,Verlander,Price,Fielder,Jones,Cespedes,Hamilton
2012,AL,Bob Elliott,Toronto Sun,TOR,Cabrera,Trout,Beltre,Cano,Jones,Jeter,Hamilton,Rodney,Reddick,Encarnacion
2012,AL,Mark Zwolinski,Toronto Star,TOR,Cabrera,Trout,Cano,Beltre,Hamilton,Price,Jones,Jeter,Rios,Cespedes
