Teams,Borda Points
lsu-tigers,1510
ohio-state-buckeyes,1464
clemson-tigers,1418
oklahoma-sooners,1342
georgia-bulldogs,1224
florida-gators,1146
oregon-ducks,1126
baylor-bears,1019
auburn-tigers,993
alabama-crimson-tide,992
wisconsin-badgers,928
utah-utes,895
penn-state-nittany-lions,875
notre-dame-fighting-irish,697
memphis-tigers,665
minnesota-golden-gophers,634
michigan-wolverines,593
boise-state-broncos,491
iowa-hawkeyes,490
appalachian-state-mountaineers,355
usc-trojans,223
cincinnati-bearcats,196
air-force-falcons,134
southern-methodist-mustangs,89
oklahoma-state-cowboys,89
virginia-cavaliers,71
kansas-state-wildcats,63
florida-atlantic-owls,9
texas-am-aggies,7
ucf-knights,7
iowa-state-cyclones,6
arizona-state-sun-devils,5
california-golden-bears,4
washington-huskies,3
north-dakota-state-bison,2
