Teams,Borda Points
lsu-tigers,1476
alabama-crimson-tide,1474
ohio-state-buckeyes,1468
clemson-tigers,1406
penn-state-nittany-lions,1302
florida-gators,1226
oregon-ducks,1108
georgia-bulldogs,1093
utah-utes,1032
oklahoma-sooners,1017
auburn-tigers,910
baylor-bears,882
minnesota-golden-gophers,778
michigan-wolverines,744
southern-methodist-mustangs,666
notre-dame-fighting-irish,565
cincinnati-bearcats,527
wisconsin-badgers,520
iowa-hawkeyes,464
appalachian-state-mountaineers,400
boise-state-broncos,298
kansas-state-wildcats,234
memphis-tigers,218
san-diego-state-aztecs,75
texas-longhorns,56
navy-midshipmen,53
ucf-knights,41
washington-huskies,20
texas-am-aggies,15
usc-trojans,13
louisiana-tech-bulldogs,7
indiana-hoosiers,4
pittsburgh-panthers,2
north-dakota-state-bison,2
oklahoma-state-cowboys,2
iowa-state-cyclones,1
