Teams,Borda Points
ohio-state-buckeyes,112
baylor-bears,90
utah-utes,73
tcu-horned-frogs,45
lsu-tigers,29
clemson-tigers,9
michigan-state-spartans,7
alabama-crimson-tide,1
florida-state-seminoles,0
florida-gators,0
stanford-cardinal,0
memphis-tigers,0
michigan-wolverines,0
notre-dame-fighting-irish,0
iowa-hawkeyes,0
oklahoma-state-cowboys,0
texas-am-aggies,0
oklahoma-sooners,0
toledo-rockets,0
california-golden-bears,0
houston-cougars,0
ole-miss-rebels,0
duke-blue-devils,0
temple-owls,0
mississippi-state-bulldogs,0
pittsburgh-panthers,0
byu-cougars,0
texas-tech-red-raiders,0
ucla-bruins,0
arizona-state-sun-devils,0
western-kentucky-hilltoppers,0
north-carolina-tar-heels,0
wisconsin-badgers,0
georgia-bulldogs,0
utah-state-aggies,0
northwestern-wildcats,0
