Teams,Borda Points
alabama-crimson-tide,1548
notre-dame-fighting-irish,1467
ohio-state-buckeyes,1445
clemson-tigers,1355
texas-am-aggies,1240
florida-gators,1222
cincinnati-bearcats,1198
byu-cougars,1094
indiana-hoosiers,997
wisconsin-badgers,950
oregon-ducks,949
miami-fl-hurricanes,940
georgia-bulldogs,824
oklahoma-state-cowboys,750
coastal-carolina-chanticleers,558
marshall-thundering-herd,558
iowa-state-cyclones,499
oklahoma-sooners,498
northwestern-wildcats,378
usc-trojans,377
liberty-flames,307
texas-longhorns,296
auburn-tigers,188
louisiana-lafayette-ragin-cajuns,178
tulsa-golden-hurricane,156
north-carolina-tar-heels,101
southern-methodist-mustangs,21
utah-utes,17
washington-huskies,15
boise-state-broncos,6
san-jose-state-spartans,5
appalachian-state-mountaineers,5
nevada-wolf-pack,3
iowa-hawkeyes,2
buffalo-bulls,1
ucf-knights,1
