Teams,Borda Points
clemson-tigers,1546
alabama-crimson-tide,1473
georgia-bulldogs,1443
notre-dame-fighting-irish,1356
north-carolina-tar-heels,1240
oklahoma-state-cowboys,1121
cincinnati-bearcats,1023
penn-state-nittany-lions,1022
florida-gators,956
texas-am-aggies,935
oregon-ducks,868
miami-fl-hurricanes,840
byu-cougars,760
auburn-tigers,753
wisconsin-badgers,685
southern-methodist-mustangs,573
tennessee-volunteers,511
michigan-wolverines,466
iowa-state-cyclones,451
louisiana-lafayette-ragin-cajuns,386
kansas-state-wildcats,339
virginia-tech-hokies,233
minnesota-golden-gophers,211
usc-trojans,146
marshall-thundering-herd,121
north-carolina-state-wolfpack,97
oklahoma-sooners,88
ucf-knights,68
tulsa-golden-hurricane,68
boston-college-eagles,47
coastal-carolina-chanticleers,45
utah-utes,35
iowa-hawkeyes,34
uab-blazers,30
west-virginia-mountaineers,26
army-west-point-black-knights,21
memphis-tigers,14
air-force-falcons,12
liberty-flames,8
ole-miss-rebels,7
arizona-state-sun-devils,7
texas-longhorns,6
lsu-tigers,6
houston-cougars,5
washington-huskies,5
missouri-tigers,4
indiana-hoosiers,2
louisiana-tech-bulldogs,2
virginia-cavaliers,2
tcu-horned-frogs,1
