Teams,Borda Points
alabama-crimson-tide,1548
notre-dame-fighting-irish,1467
ohio-state-buckeyes,1445
clemson-tigers,1355
texas-am-aggies,1240
florida-gators,1222
cincinnati-bearcats,1198
byu-cougars,1094
indiana-hoosiers,997
wisconsin-badgers,950
oregon-ducks,949
miami-fl-hurricanes,940
georgia-bulldogs,824
oklahoma-state-cowboys,751
coastal-carolina-chanticleers,558
marshall-thundering-herd,558
iowa-state-cyclones,500
oklahoma-sooners,498
northwestern-wildcats,378
usc-trojans,377
liberty-flames,308
texas-longhorns,297
auburn-tigers,189
louisiana-lafayette-ragin-cajuns,178
tulsa-golden-hurricane,156
north-carolina-tar-heels,102
southern-methodist-mustangs,20
washington-huskies,15
arizona-state-sun-devils,9
boise-state-broncos,6
san-jose-state-spartans,5
appalachian-state-mountaineers,5
nevada-wolf-pack,3
ucf-knights,2
iowa-hawkeyes,2
buffalo-bulls,1
