Teams,Borda Points
alabama-crimson-tide,1547
georgia-bulldogs,1491
oregon-ducks,1404
iowa-hawkeyes,1333
penn-state-nittany-lions,1238
texas-am-aggies,1207
cincinnati-bearcats,1199
clemson-tigers,1133
ohio-state-buckeyes,1037
florida-gators,986
notre-dame-fighting-irish,936
ole-miss-rebels,775
iowa-state-cyclones,725
byu-cougars,665
arkansas-razorbacks,599
coastal-carolina-chanticleers,583
wisconsin-badgers,569
michigan-wolverines,516
michigan-state-spartans,449
north-carolina-tar-heels,357
fresno-state-bulldogs,243
auburn-tigers,201
ucla-bruins,182
kansas-state-wildcats,161
tcu-horned-frogs,111
liberty-flames,68
virginia-tech-hokies,67
oklahoma-state-cowboys,66
maryland-terrapins,38
arizona-state-sun-devils,32
texas-longhorns,29
san-diego-state-aztecs,24
usc-trojans,23
lsu-tigers,19
west-virginia-mountaineers,18
kentucky-wildcats,14
boston-college-eagles,12
wake-forest-demon-deacons,11
texas-tech-red-raiders,7
memphis-tigers,5
stanford-cardinal,4
louisville-cardinals,2
wyoming-cowboys,2
