Teams,Borda Points
georgia-bulldogs,1575
cincinnati-bearcats,1446
alabama-crimson-tide,1440
oklahoma-sooners,1421
ohio-state-buckeyes,1356
notre-dame-fighting-irish,1198
michigan-state-spartans,1158
michigan-wolverines,1131
oklahoma-state-cowboys,1098
texas-am-aggies,1067
ole-miss-rebels,899
wake-forest-demon-deacons,825
byu-cougars,698
utsa-roadrunners,667
auburn-tigers,538
houston-cougars,527
baylor-bears,524
iowa-hawkeyes,492
wisconsin-badgers,332
north-carolina-state-wolfpack,313
coastal-carolina-chanticleers,305
penn-state-nittany-lions,283
louisiana-lafayette-ragin-cajuns,249
pittsburgh-panthers,238
purdue-boilermakers,215
arkansas-razorbacks,171
san-diego-state-aztecs,109
utah-utes,44
iowa-state-cyclones,33
kentucky-wildcats,27
appalachian-state-mountaineers,27
southern-methodist-mustangs,6
