Teams,Borda Points
georgia-bulldogs,1575
cincinnati-bearcats,1440
alabama-crimson-tide,1436
oklahoma-sooners,1406
oregon-ducks,1318
ohio-state-buckeyes,1314
notre-dame-fighting-irish,1138
michigan-state-spartans,1095
michigan-wolverines,1071
oklahoma-state-cowboys,1037
texas-am-aggies,1005
ole-miss-rebels,836
wake-forest-demon-deacons,762
byu-cougars,635
utsa-roadrunners,605
auburn-tigers,477
houston-cougars,466
baylor-bears,464
iowa-hawkeyes,436
wisconsin-badgers,288
north-carolina-state-wolfpack,268
coastal-carolina-chanticleers,267
penn-state-nittany-lions,245
louisiana-lafayette-ragin-cajuns,209
pittsburgh-panthers,196
purdue-boilermakers,175
arkansas-razorbacks,139
san-diego-state-aztecs,84
utah-utes,32
iowa-state-cyclones,26
appalachian-state-mountaineers,20
southern-methodist-mustangs,4
