Teams,Borda Points
alabama-crimson-tide,1535
michigan-wolverines,1480
georgia-bulldogs,1408
cincinnati-bearcats,1404
notre-dame-fighting-irish,1280
baylor-bears,1228
ohio-state-buckeyes,1179
ole-miss-rebels,1108
oklahoma-state-cowboys,1074
michigan-state-spartans,930
byu-cougars,900
pittsburgh-panthers,885
oklahoma-sooners,857
oregon-ducks,655
louisiana-lafayette-ragin-cajuns,548
iowa-hawkeyes,503
north-carolina-state-wolfpack,465
clemson-tigers,455
wake-forest-demon-deacons,453
houston-cougars,411
arkansas-razorbacks,329
texas-am-aggies,211
utsa-roadrunners,179
kentucky-wildcats,166
utah-state-aggies,146
san-diego-state-aztecs,88
wisconsin-badgers,80
minnesota-golden-gophers,50
purdue-boilermakers,44
appalachian-state-mountaineers,14
army-west-point-black-knights,10
penn-state-nittany-lions,6
mississippi-state-bulldogs,5
northern-illinois-huskies,2
