Teams,Borda Points
alabama-crimson-tide,1546
georgia-bulldogs,1492
oregon-ducks,1411
penn-state-nittany-lions,1283
iowa-hawkeyes,1277
oklahoma-sooners,1212
cincinnati-bearcats,1154
arkansas-razorbacks,1094
notre-dame-fighting-irish,1076
florida-gators,1019
ohio-state-buckeyes,1005
ole-miss-rebels,852
byu-cougars,748
michigan-wolverines,677
texas-am-aggies,651
coastal-carolina-chanticleers,613
michigan-state-spartans,581
fresno-state-bulldogs,416
oklahoma-state-cowboys,342
ucla-bruins,316
baylor-bears,235
auburn-tigers,198
north-carolina-state-wolfpack,147
wake-forest-demon-deacons,143
clemson-tigers,138
texas-longhorns,131
maryland-terrapins,91
san-diego-state-aztecs,58
boston-college-eagles,56
southern-methodist-mustangs,44
kentucky-wildcats,26
lsu-tigers,25
iowa-state-cyclones,25
arizona-state-sun-devils,24
wisconsin-badgers,13
rutgers-scarlet-knights,6
kansas-state-wildcats,5
louisville-cardinals,4
oregon-state-beavers,4
utsa-roadrunners,4
north-carolina-tar-heels,1
