Teams,Borda Points
georgia-bulldogs,1575
cincinnati-bearcats,1455
alabama-crimson-tide,1413
oklahoma-sooners,1382
michigan-state-spartans,1340
ohio-state-buckeyes,1296
oregon-ducks,1233
notre-dame-fighting-irish,1075
michigan-wolverines,1058
wake-forest-demon-deacons,1038
auburn-tigers,893
baylor-bears,888
texas-am-aggies,885
ole-miss-rebels,739
utsa-roadrunners,520
byu-cougars,510
kentucky-wildcats,466
houston-cougars,396
iowa-hawkeyes,391
coastal-carolina-chanticleers,282
southern-methodist-mustangs,220
penn-state-nittany-lions,212
louisiana-lafayette-ragin-cajuns,200
fresno-state-bulldogs,187
pittsburgh-panthers,144
north-carolina-state-wolfpack,132
wisconsin-badgers,110
mississippi-state-bulldogs,97
arkansas-razorbacks,86
minnesota-golden-gophers,67
san-diego-state-aztecs,65
appalachian-state-mountaineers,30
utah-utes,13
iowa-state-cyclones,11
nevada-wolf-pack,3
