Teams,Borda Points
georgia-bulldogs,1574
ohio-state-buckeyes,1501
michigan-wolverines,1453
tcu-horned-frogs,1374
tennessee-volunteers,1341
lsu-tigers,1218
usc-trojans,1152
alabama-crimson-tide,1140
clemson-tigers,1055
utah-utes,965
penn-state-nittany-lions,882
oregon-ducks,856
north-carolina-tar-heels,843
ole-miss-rebels,797
washington-huskies,693
ucla-bruins,648
ucf-knights,538
notre-dame-fighting-irish,495
kansas-state-wildcats,468
florida-state-seminoles,387
tulane-green-wave,274
cincinnati-bearcats,238
coastal-carolina-chanticleers,144
oklahoma-state-cowboys,85
oregon-state-beavers,82
north-carolina-state-wolfpack,79
texas-longhorns,66
utsa-roadrunners,51
troy-trojans,22
duke-blue-devils,16
liberty-flames,15
florida-gators,7
minnesota-golden-gophers,7
boise-state-broncos,5
south-alabama-jaguars,1
