Teams,Borda Points
georgia-bulldogs,1570
michigan-wolverines,1516
tcu-horned-frogs,1449
usc-trojans,1382
ohio-state-buckeyes,1313
alabama-crimson-tide,1243
tennessee-volunteers,1195
penn-state-nittany-lions,1131
washington-huskies,1048
clemson-tigers,928
lsu-tigers,874
utah-utes,849
kansas-state-wildcats,815
florida-state-seminoles,730
oregon-ducks,701
oregon-state-beavers,662
ucla-bruins,618
tulane-green-wave,551
notre-dame-fighting-irish,386
south-carolina-gamecocks,361
texas-longhorns,319
ucf-knights,173
utsa-roadrunners,148
north-carolina-tar-heels,117
mississippi-state-bulldogs,102
troy-trojans,81
north-carolina-state-wolfpack,63
boise-state-broncos,40
purdue-boilermakers,25
ole-miss-rebels,25
south-alabama-jaguars,12
illinois-fighting-illini,10
coastal-carolina-chanticleers,6
pittsburgh-panthers,5
james-madison-dukes,4
fresno-state-bulldogs,4
ohio-bobcats,2
minnesota-golden-gophers,1
