Teams,Borda Points
georgia-bulldogs,1535
ohio-state-buckeyes,1507
alabama-crimson-tide,1489
clemson-tigers,1348
michigan-wolverines,1324
tennessee-volunteers,1246
usc-trojans,1227
ole-miss-rebels,1116
penn-state-nittany-lions,1033
ucla-bruins,969
oregon-ducks,955
tcu-horned-frogs,882
wake-forest-demon-deacons,810
north-carolina-state-wolfpack,808
mississippi-state-bulldogs,652
kansas-state-wildcats,622
syracuse-orange,452
kansas-jayhawks,389
utah-utes,384
cincinnati-bearcats,305
kentucky-wildcats,182
texas-longhorns,180
illinois-fighting-illini,150
james-madison-dukes,139
north-carolina-tar-heels,123
baylor-bears,108
coastal-carolina-chanticleers,81
byu-cougars,80
notre-dame-fighting-irish,74
florida-gators,69
tulane-green-wave,58
purdue-boilermakers,45
florida-state-seminoles,20
south-carolina-gamecocks,17
washington-state-cougars,13
minnesota-golden-gophers,8
maryland-terrapins,5
lsu-tigers,5
san-jose-state-spartans,2
