Teams,Borda Points
georgia-bulldogs,1570
michigan-wolverines,1516
tcu-horned-frogs,1449
usc-trojans,1382
ohio-state-buckeyes,1313
alabama-crimson-tide,1245
tennessee-volunteers,1211
washington-huskies,1102
clemson-tigers,986
lsu-tigers,932
utah-utes,911
kansas-state-wildcats,877
florida-state-seminoles,793
oregon-ducks,764
oregon-state-beavers,725
ucla-bruins,681
tulane-green-wave,614
notre-dame-fighting-irish,441
south-carolina-gamecocks,417
texas-longhorns,373
ucf-knights,217
utsa-roadrunners,189
north-carolina-tar-heels,146
mississippi-state-bulldogs,129
troy-trojans,107
north-carolina-state-wolfpack,81
cincinnati-bearcats,59
boise-state-broncos,52
purdue-boilermakers,35
ole-miss-rebels,31
south-alabama-jaguars,16
illinois-fighting-illini,15
pittsburgh-panthers,7
james-madison-dukes,7
coastal-carolina-chanticleers,7
fresno-state-bulldogs,6
ohio-bobcats,4
minnesota-golden-gophers,2
