Teams,Borda Points
georgia-bulldogs,1570
michigan-wolverines,1516
tcu-horned-frogs,1449
usc-trojans,1382
ohio-state-buckeyes,1313
alabama-crimson-tide,1243
tennessee-volunteers,1195
penn-state-nittany-lions,1131
washington-huskies,1048
clemson-tigers,928
lsu-tigers,874
utah-utes,849
kansas-state-wildcats,815
florida-state-seminoles,730
oregon-ducks,701
oregon-state-beavers,662
ucla-bruins,618
tulane-green-wave,552
notre-dame-fighting-irish,384
south-carolina-gamecocks,358
texas-longhorns,317
ucf-knights,172
utsa-roadrunners,145
north-carolina-tar-heels,114
mississippi-state-bulldogs,100
troy-trojans,82
north-carolina-state-wolfpack,63
cincinnati-bearcats,43
boise-state-broncos,39
ole-miss-rebels,22
illinois-fighting-illini,13
south-alabama-jaguars,13
coastal-carolina-chanticleers,6
pittsburgh-panthers,5
james-madison-dukes,5
fresno-state-bulldogs,4
ohio-bobcats,2
minnesota-golden-gophers,1
