TeamA,TeamB,A>B,B>A
alabama-crimson-tide,army-west-point-black-knights,62,0
alabama-crimson-tide,auburn-tigers,62,0
alabama-crimson-tide,boise-state-broncos,62,0
alabama-crimson-tide,buffalo-bulls,62,0
alabama-crimson-tide,byu-cougars,62,0
alabama-crimson-tide,cincinnati-bearcats,62,0
alabama-crimson-tide,clemson-tigers,62,0
alabama-crimson-tide,coastal-carolina-chanticleers,62,0
alabama-crimson-tide,colorado-buffaloes,62,0
alabama-crimson-tide,florida-gators,62,0
alabama-crimson-tide,georgia-bulldogs,62,0
alabama-crimson-tide,indiana-hoosiers,62,0
alabama-crimson-tide,iowa-hawkeyes,62,0
alabama-crimson-tide,iowa-state-cyclones,62,0
alabama-crimson-tide,liberty-flames,62,0
alabama-crimson-tide,louisiana-lafayette-ragin-cajuns,62,0
alabama-crimson-tide,marshall-thundering-herd,62,0
alabama-crimson-tide,miami-fl-hurricanes,62,0
alabama-crimson-tide,missouri-tigers,62,0
alabama-crimson-tide,nevada-wolf-pack,62,0
alabama-crimson-tide,north-carolina-state-wolfpack,62,0
alabama-crimson-tide,north-carolina-tar-heels,62,0
alabama-crimson-tide,northwestern-wildcats,62,0
alabama-crimson-tide,notre-dame-fighting-irish,62,0
alabama-crimson-tide,ohio-state-buckeyes,62,0
alabama-crimson-tide,oklahoma-sooners,62,0
alabama-crimson-tide,oklahoma-state-cowboys,62,0
alabama-crimson-tide,san-jose-state-spartans,62,0
alabama-crimson-tide,tcu-horned-frogs,62,0
alabama-crimson-tide,texas-am-aggies,62,0
alabama-crimson-tide,texas-longhorns,62,0
alabama-crimson-tide,tulsa-golden-hurricane,62,0
alabama-crimson-tide,ucf-knights,62,0
alabama-crimson-tide,ucla-bruins,62,0
alabama-crimson-tide,usc-trojans,62,0
alabama-crimson-tide,washington-huskies,62,0
alabama-crimson-tide,wisconsin-badgers,62,0
army-west-point-black-knights,auburn-tigers,1,1
army-west-point-black-knights,boise-state-broncos,1,3
army-west-point-black-knights,buffalo-bulls,1,42
army-west-point-black-knights,byu-cougars,0,62
army-west-point-black-knights,cincinnati-bearcats,0,62
army-west-point-black-knights,clemson-tigers,0,62
army-west-point-black-knights,coastal-carolina-chanticleers,0,62
army-west-point-black-knights,colorado-buffaloes,0,50
army-west-point-black-knights,florida-gators,0,62
army-west-point-black-knights,georgia-bulldogs,0,62
army-west-point-black-knights,indiana-hoosiers,0,62
