Teams,Borda Points
clemson-tigers,1510
alabama-crimson-tide,1465
michigan-state-spartans,1382
oklahoma-sooners,1376
stanford-cardinal,1221
iowa-hawkeyes,1214
ohio-state-buckeyes,1208
notre-dame-fighting-irish,1070
florida-state-seminoles,972
north-carolina-tar-heels,949
tcu-horned-frogs,936
northwestern-wildcats,776
oklahoma-state-cowboys,767
houston-cougars,710
oregon-ducks,685
ole-miss-rebels,656
michigan-wolverines,579
baylor-bears,427
florida-gators,422
utah-utes,325
lsu-tigers,278
navy-midshipmen,278
wisconsin-badgers,204
western-kentucky-hilltoppers,76
georgia-bulldogs,71
usc-trojans,60
byu-cougars,29
san-diego-state-aztecs,26
tennessee-volunteers,26
washington-state-cougars,24
arkansas-razorbacks,20
memphis-tigers,13
south-florida-bulls,9
bowling-green-falcons,8
mississippi-state-bulldogs,6
toledo-rockets,4
ucla-bruins,4
arkansas-state-red-wolves,3
