Teams,Borda Points
clemson-tigers,1489
ohio-state-buckeyes,1460
alabama-crimson-tide,1376
baylor-bears,1351
oklahoma-state-cowboys,1256
notre-dame-fighting-irish,1219
stanford-cardinal,1144
iowa-hawkeyes,1091
lsu-tigers,1050
utah-utes,900
florida-gators,887
oklahoma-sooners,858
tcu-horned-frogs,842
michigan-state-spartans,807
michigan-wolverines,684
houston-cougars,566
north-carolina-tar-heels,513
ucla-bruins,418
florida-state-seminoles,398
mississippi-state-bulldogs,383
navy-midshipmen,252
wisconsin-badgers,218
northwestern-wildcats,205
memphis-tigers,178
usc-trojans,122
byu-cougars,44
ole-miss-rebels,30
boise-state-broncos,6
toledo-rockets,6
texas-am-aggies,6
western-kentucky-hilltoppers,4
washington-state-cougars,4
