Teams,Borda Points
georgia-bulldogs,1545
ohio-state-buckeyes,1478
texas-longhorns,1418
alabama-crimson-tide,1309
notre-dame-fighting-irish,1240
ole-miss-rebels,1212
oregon-ducks,1197
penn-state-nittany-lions,1146
missouri-tigers,970
michigan-wolverines,941
utah-utes,901
miami-fl-hurricanes,900
usc-trojans,823
tennessee-volunteers,793
oklahoma-sooners,720
oklahoma-state-cowboys,641
lsu-tigers,454
kansas-jayhawks,399
arizona-wildcats,390
iowa-hawkeyes,346
louisville-cardinals,228
georgia-tech-yellow-jackets,194
north-carolina-state-wolfpack,178
clemson-tigers,169
texas-am-aggies,126
boise-state-broncos,64
boston-college-eagles,60
iowa-state-cyclones,38
memphis-tigers,36
nebraska-cornhuskers,32
southern-methodist-mustangs,31
washington-huskies,27
liberty-flames,16
vanderbilt-commodores,12
auburn-tigers,11
wisconsin-badgers,10
tulane-green-wave,5
appalachian-state-mountaineers,5
north-carolina-tar-heels,5
kentucky-wildcats,4
utsa-roadrunners,4
arkansas-razorbacks,3
west-virginia-mountaineers,3
colorado-buffaloes,2
unlv-rebels,2
