Teams,Borda Points
alabama-crimson-tide,1525
ohio-state-buckeyes,1455
louisville-cardinals,1357
michigan-wolverines,1323
clemson-tigers,1304
wisconsin-badgers,1214
washington-huskies,1150
oklahoma-sooners,1064
penn-state-nittany-lions,961
west-virginia-mountaineers,920
utah-utes,807
colorado-buffaloes,797
oklahoma-state-cowboys,659
western-michigan-broncos,634
usc-trojans,584
lsu-tigers,582
florida-state-seminoles,569
auburn-tigers,543
nebraska-cornhuskers,505
washington-state-cougars,501
florida-gators,436
boise-state-broncos,315
texas-am-aggies,238
san-diego-state-aztecs,98
troy-trojans,63
houston-cougars,49
north-carolina-tar-heels,41
virginia-tech-hokies,36
tennessee-volunteers,22
navy-midshipmen,20
stanford-cardinal,16
western-kentucky-hilltoppers,11
south-florida-bulls,9
arkansas-razorbacks,7
iowa-hawkeyes,5
ole-miss-rebels,2
minnesota-golden-gophers,1
