Teams,Borda Points
alabama-crimson-tide,1525
clemson-tigers,1458
notre-dame-fighting-irish,1409
georgia-bulldogs,1336
oklahoma-sooners,1266
ohio-state-buckeyes,1229
ucf-knights,1146
michigan-wolverines,1058
texas-longhorns,959
washington-huskies,897
florida-gators,876
washington-state-cougars,818
lsu-tigers,818
penn-state-nittany-lions,751
west-virginia-mountaineers,674
kentucky-wildcats,602
utah-utes,540
syracuse-orange,480
boise-state-broncos,419
mississippi-state-bulldogs,334
northwestern-wildcats,327
texas-am-aggies,291
army-west-point-black-knights,179
fresno-state-bulldogs,110
missouri-tigers,97
utah-state-aggies,95
north-carolina-state-wolfpack,40
cincinnati-bearcats,36
stanford-cardinal,11
iowa-hawkeyes,5
oregon-ducks,2
appalachian-state-mountaineers,1
buffalo-bulls,1
