Teams,Borda Points
alabama-crimson-tide,1523
georgia-bulldogs,1422
clemson-tigers,1409
ohio-state-buckeyes,1363
lsu-tigers,1238
oklahoma-sooners,1201
stanford-cardinal,1143
notre-dame-fighting-irish,1067
penn-state-nittany-lions,1001
auburn-tigers,987
washington-huskies,946
west-virginia-mountaineers,923
ucf-knights,727
michigan-wolverines,698
wisconsin-badgers,662
miami-fl-hurricanes,571
kentucky-wildcats,541
texas-longhorns,308
oregon-ducks,298
byu-cougars,271
michigan-state-spartans,256
duke-blue-devils,245
mississippi-state-bulldogs,243
california-golden-bears,119
texas-tech-red-raiders,107
colorado-buffaloes,85
boise-state-broncos,58
virginia-tech-hokies,55
south-florida-bulls,51
oklahoma-state-cowboys,44
texas-am-aggies,42
south-carolina-gamecocks,31
iowa-hawkeyes,31
florida-gators,30
north-carolina-state-wolfpack,28
tcu-horned-frogs,24
north-texas-mean-green,11
cincinnati-bearcats,10
utah-utes,9
missouri-tigers,7
ole-miss-rebels,7
san-diego-state-aztecs,6
buffalo-bulls,6
maryland-terrapins,6
arizona-state-sun-devils,4
