Teams,Borda Points
clemson-tigers,178
alabama-crimson-tide,130
ohio-state-buckeyes,43
notre-dame-fighting-irish,15
georgia-bulldogs,6
penn-state-nittany-lions,0
oklahoma-state-cowboys,0
texas-am-aggies,0
byu-cougars,0
cincinnati-bearcats,0
oregon-ducks,0
miami-fl-hurricanes,0
wisconsin-badgers,0
kansas-state-wildcats,0
florida-gators,0
southern-methodist-mustangs,0
minnesota-golden-gophers,0
michigan-wolverines,0
usc-trojans,0
iowa-state-cyclones,0
virginia-tech-hokies,0
north-carolina-tar-heels,0
uab-blazers,0
marshall-thundering-herd,0
tulsa-golden-hurricane,0
north-carolina-state-wolfpack,0
west-virginia-mountaineers,0
oklahoma-sooners,0
utah-utes,0
coastal-carolina-chanticleers,0
memphis-tigers,0
arizona-state-sun-devils,0
virginia-cavaliers,0
auburn-tigers,0
iowa-hawkeyes,0
liberty-flames,0
louisiana-lafayette-ragin-cajuns,0
south-carolina-gamecocks,0
army-west-point-black-knights,0
air-force-falcons,0
washington-huskies,0
tennessee-volunteers,0
arkansas-razorbacks,0
kentucky-wildcats,0
indiana-hoosiers,0
texas-longhorns,0
